folder,id,display_name,description,type,units,domain,labels,calculation,commonly_used,forms
Administrative,cucmcn1c,Current participant consent for commercial use of data,,choices,,noyes,,,TRUE,
Administrative,examnumber,MESA exam number,Note: The MESA Sleep ancillary study took place during MESA Exam 5.,choices,,examnumber,,,TRUE,
Administrative,gender1,Gender of the participant,,choices,,gender,,,TRUE,
Administrative,mesaid,MESA BioLINCC ID,This subject identifier code matches what has been used previously in MESA datasets on BioLINCC.,identifier,,,,,TRUE,
Administrative,race1c,Race/ethnicity of the participant,"Note from MESA Coordinating Center: It is recommended that Investigators make use of the terminology ""race/ethnicity"" when publishing or presenting variable race1c results (e.g. descriptive summaries, associations, ...).  It has been noted that Chinese and Hispanic are not race groups, and that race itself is an ill-defined, non-scientific concept.",choices,,race,,,TRUE,
Administrative,sleepage5c,Participant Age at MESA Sleep Visit,,integer,years,,,,TRUE,
Clinical Data/Diagnostic Studies/Heart Rate Variability/Full Night,avnn_fn5,"Normal-to-normal intervals, full night: Mean",,numeric,milliseconds,,,,,
Clinical Data/Diagnostic Studies/Heart Rate Variability/Full Night,hf_fn5,"Normal-to-normal intervals between 0.15 and 0.4 Hz, full night: Total spectral power",,numeric,milliseconds squared,,,,,
Clinical Data/Diagnostic Studies/Heart Rate Variability/Full Night,hfn_fn5,"Low frequency power, full night: Normalized ratio",,numeric,,,,,,
Clinical Data/Diagnostic Studies/Heart Rate Variability/Full Night,ihr_fn5,"Instantaneous heart rate, full night: Average",,numeric,beats per minute,,,,,
Clinical Data/Diagnostic Studies/Heart Rate Variability/Full Night,lf_fn5,"Normal-to-normal intervals between 0.04 and 0.15 Hz, full night: Total spectral power",,numeric,milliseconds squared,,,,,
Clinical Data/Diagnostic Studies/Heart Rate Variability/Full Night,lf_hf_fn5,"Low frequency power / high frequency power, full night",,numeric,,,,,,
Clinical Data/Diagnostic Studies/Heart Rate Variability/Full Night,lfn_fn5,"High frequency power, full night: Normalized ratio",,numeric,,,,,,
Clinical Data/Diagnostic Studies/Heart Rate Variability/Full Night,nn_rr_fn5,"Consecutive normal-to-normal intervals / all inter-beat intervals, full night",,numeric,,,,,,
Clinical Data/Diagnostic Studies/Heart Rate Variability/Full Night,pnn10_fn5,"Adjacent normal-to-normal intervals, full night: Percentage of differences > 10 ms",,numeric,percent,,,,,
Clinical Data/Diagnostic Studies/Heart Rate Variability/Full Night,pnn20_fn5,"Adjacent normal-to-normal intervals, full night: Percentage of differences > 20 ms",,numeric,percent,,,,,
Clinical Data/Diagnostic Studies/Heart Rate Variability/Full Night,pnn30_fn5,"Adjacent normal-to-normal intervals, full night: Percentage of differences > 30 ms",,numeric,percent,,,,,
Clinical Data/Diagnostic Studies/Heart Rate Variability/Full Night,pnn40_fn5,"Adjacent normal-to-normal intervals, full night: Percentage of differences > 40 ms",,numeric,percent,,,,,
Clinical Data/Diagnostic Studies/Heart Rate Variability/Full Night,pnn50_fn5,"Adjacent normal-to-normal intervals, full night: Percentage of differences > 50 ms",,numeric,percent,,,,,
Clinical Data/Diagnostic Studies/Heart Rate Variability/Full Night,rmssd_fn5,"Adjacent normal-to-normal intervals, full night: Square root of the mean of the squares of differences",,numeric,milliseconds,,,,,
Clinical Data/Diagnostic Studies/Heart Rate Variability/Full Night,sdann_fn5,"Normal-to-normal intervals in all 5-minute segments, full night: Standard deviation of the averages",,numeric,milliseconds,,,,,
Clinical Data/Diagnostic Studies/Heart Rate Variability/Full Night,sdnn_fn5,"Normal-to-normal intervals, full night: Standard deviation",,numeric,milliseconds,,,,,
Clinical Data/Diagnostic Studies/Heart Rate Variability/Full Night,sdnnidx_fn5,"Normal-to-normal intervals in all 5-minute segments, full night: Mean of the standard deviations",,numeric,milliseconds,,,,,
Clinical Data/Diagnostic Studies/Heart Rate Variability/Full Night,totpwr_fn5,"Normal-to-normal intervals up to 0.04 Hz, full night: Total spectral power",,numeric,milliseconds squared,,,,,
